Date,Open,High,Low,Close,Volume
2025-03-20,11896.549985615047,12125.33324755775,11807.675368740172,11883.7041015625,140469
2025-03-21,11958.032374378023,12347.419458758764,11847.764545481923,12056.2041015625,186687
2025-03-24,12246.44875870907,12531.366137993322,12146.677885710324,12251.59765625,131842
2025-03-25,12356.46595632318,12494.376152397033,11970.577878644732,12138.0791015625,100468
2025-03-26,12196.462831361867,12341.420791242806,12116.985880944387,12169.3203125,65913
2025-03-27,12234.301577490245,13271.151274547936,11946.53542228609,12944.1962890625,233784
2025-03-28,12982.834124926541,12982.834124926541,12546.361108277024,12649.9814453125,117075
2025-04-01,12596.346833705451,12649.83132224539,12232.452369620627,12276.9892578125,72223
2025-04-02,12334.02297645753,12480.380926050822,12231.502900649128,12430.095703125,58221
2025-04-03,12394.105921858994,12495.376358260997,12249.598024260511,12402.4033203125,59503
2025-04-04,12455.13813699794,12486.92872273988,11986.623610806115,12116.5361328125,83992
2025-04-07,10396.985085633638,11759.540167664938,10396.985085633638,11517.509765625,86082
2025-04-08,11771.586595391997,11836.218244790562,11403.243208537628,11662.7177734375,68040
2025-04-09,11697.107378908859,11706.554834087867,11294.724085886268,11350.158203125,47287
2025-04-11,11646.622803838947,12071.499601403886,11515.710569427469,11975.8271484375,90524
2025-04-15,12196.462923865714,12840.276212633707,12059.502643491156,12570.3544921875,100045
2025-04-16,12575.352967842286,12889.261929755196,12575.352967842286,12691.3193359375,78815
2025-04-17,12716.311814942072,13346.129145399109,12599.345739285765,13202.1708984375,119534
2025-04-21,13202.171221393462,13513.081054034183,13149.186587535076,13449.099609375,87580
2025-04-22,13386.118455573693,13852.983079827085,13349.129181275244,13797.9990234375,88090
2025-04-23,13895.969696374012,14089.913446093187,13693.028556203944,13905.966796875,73491
2025-04-24,13670.03537535236,14045.926358322411,13670.03537535236,13919.962890625,55683
2025-04-25,13919.96270788577,13974.946760523928,13356.126240832655,13495.0859375,88270
2025-04-28,13410.110745587037,13995.940840779673,13385.117994085645,13956.9521484375,56019
2025-04-29,14045.926979101521,14435.813920158433,13957.952489837398,14386.828125,66435
2025-04-30,14410.821134199812,14895.680534136469,14294.854762256198,14524.7880859375,95157
2025-05-02,14525.787219909216,14970.658198082621,14505.793018642995,14714.732421875,75503
2025-05-05,14969.658438052138,14995.650899611464,14430.8147157261,14569.7744140625,81434
2025-05-06,14645.752576477182,14863.68937249575,14299.852891053215,14408.8212890625,81913
2025-05-07,14323.846188479223,14895.68036071611,14147.897212406335,14675.744140625,91027
2025-05-08,14675.744278184018,15189.595269940597,14490.797909555678,14662.748046875,81165
2025-05-09,14494.796376163067,15184.596327853013,14235.87146676061,15075.6279296875,81656
2025-05-12,15591.478094565526,16146.317177823019,15296.563626888119,15859.400390625,97231
2025-05-13,15844.404696852993,16145.317424075703,15729.438040272888,15970.3681640625,100316
2025-05-14,16110.328178686137,16974.077700646103,15934.379201990589,16730.1484375,174498
2025-05-15,16875.106565109185,16945.08627242895,15422.527783171765,15565.486328125,232253
2025-05-16,15895.38984389831,16105.328955044137,15511.50118351737,15798.41796875,123233
2025-05-19,15993.361938491831,16290.275833711987,15865.399047622537,15985.3642578125,82597
2025-05-20,16090.333538689281,16227.293817956162,15745.43356535298,15883.3935546875,85861
2025-05-21,15965.370421962532,16795.12981145714,15865.39941118005,16596.1875,102949
2025-05-22,16595.18726093389,17545.91154317173,16561.197118351254,17314.978515625,204360
2025-05-23,17305.980446322534,17719.86040154046,16969.07816393499,17151.025390625,108761
2025-05-26,17151.0258155812,17195.013058288452,16235.291399221189,16334.2626953125,126082
2025-05-27,16425.23715647035,17401.953936864236,16415.240055340422,17296.984375,179472
2025-05-28,17295.984909559666,18544.622858351067,17276.990417144105,18321.6875,342667
2025-05-29,18494.636967436312,19179.438390284628,18294.69494616673,18953.50390625,277122
2025-05-30,19159.442861934363,19723.279322885628,18745.562906555246,19292.404296875,179048
2025-06-02,19274.410629975027,19518.339893134464,19043.477598049496,19215.427734375,133693
2025-06-03,19194.433323067446,19693.28864745342,19051.47478321335,19476.3515625,121672
2025-06-04,19497.34615468837,20184.146996008723,19494.347024376926,19795.259765625,163477
2025-06-05,19951.213642850853,20292.114772891047,19339.391086884287,19509.341796875,116740
2025-06-06,19654.30024841372,19744.27415595987,18019.774261325398,18197.72265625,152974
2025-06-09,18259.70428206049,18435.653252968932,17796.83852336386,18135.740234375,140612
2025-06-10,18139.740153974726,18246.709136971436,17705.8659612591,17849.82421875,97546
2025-06-11,17874.815692903787,18278.69855307902,17447.939501579964,17528.916015625,106004
2025-06-12,17644.883945344605,17710.86481448867,16870.108587971117,17029.0625,137928
2025-06-13,16920.09356160802,17834.828309547243,16716.152699772392,17774.845703125,143418
2025-06-16,17774.84501366266,17800.83747543742,17409.95083874776,17583.900390625,75609
2025-06-17,17669.875630415227,18744.563964372588,17640.88403815033,18648.591796875,198282
2025-06-18,18694.579155043066,18844.535672329504,18256.706124566655,18455.6484375,95397
2025-06-19,18455.64745961043,19269.41145030015,18274.69993833913,18391.666015625,216466
2025-06-20,18483.640509907375,19089.46484594523,18070.760228086197,18678.583984375,312376
2025-06-23,18678.583145575994,19109.45819030642,18506.633011716058,18857.53125,94467
2025-06-24,18959.50263835217,19683.292773346475,18914.51568244783,19305.40234375,146476
2025-06-25,19619.30983001964,19703.2854746424,19194.433056630678,19630.306640625,89618
2025-06-26,19630.306742998047,19883.23338824038,19327.39459474339,19435.36328125,97163
2025-06-27,19770.266873934408,20215.137867001806,19374.381675609267,19936.21875,214655
2025-06-30,19936.21806469298,20692.998581941632,19851.24270938765,20001.19921875,153588
2025-07-01,20044.187893865022,20294.115423713713,18954.503863724727,19284.408203125,149442
2025-07-02,19384.378153768474,20094.17229967748,19364.383952475262,19954.212890625,136014
2025-07-03,20044.1874120303,20214.13812824203,19524.338162441487,19754.271484375,87861
2025-07-04,19909.2254355278,20239.12974854433,19734.276178625092,19959.2109375,111545
2025-07-07,19959.211199681187,20084.174956253195,19414.36922102723,19549.330078125,70691
2025-07-08,19624.309697268178,19919.22418329437,19024.483623994573,19109.458984375,89023
2025-07-09,19229.422899985057,19984.203991198403,18954.50263497357,19859.240234375,105929
2025-07-10,19854.24189064506,19909.225944219354,19319.397005876926,19469.353515625,85432
2025-07-11,19474.353409396877,19819.25340561053,18494.637478123317,18564.6171875,140806
2025-07-14,18649.591783150336,18864.529453125,18334.683103885134,18494.63671875,88450
2025-07-15,18579.612769528074,18954.50406834825,18379.670743490642,18429.65625,89334
2025-07-16,18554.619140625,18734.566955566406,18374.671325683594,18554.619140625,87334
2025-07-17,18709.574291403445,19564.32641639142,18594.607631317343,19484.349609375,156294
2025-07-18,19484.35040649574,19774.266343790958,18999.490994122705,19069.470703125,81389
2025-07-21,19124.453706069897,19544.331936940227,18764.55807960962,19254.416015625,96895
2025-07-22,19374.381070563013,20144.15782104462,19269.41151367916,20109.16796875,175697
2025-07-23,20199.143127103514,20519.050367918815,19759.270670982478,19864.240234375,91677
2025-07-24,19939.21779022371,20194.143863751262,19689.29026715748,19774.265625,79718
2025-07-25,19794.260237487066,19864.239945397374,19109.458810079053,19324.396484375,85898
2025-07-28,19374.38241111626,19644.304147494044,18764.559228929425,18874.52734375,84116
2025-07-29,18854.53138027413,19894.22982330091,18794.548777791813,19784.26171875,118530
2025-07-30,20194.144076380555,21343.81069459034,19744.274530124552,20818.962890625,314118
2025-07-31,20693.998419616197,20693.998419616197,19444.36083389058,20089.173828125,263034
2025-08-01,20184.147325501825,21378.80091906174,19809.256030451645,20544.04296875,219370
2025-08-04,20644.01297630454,21293.824522774175,20294.11445128243,21193.853515625,155302
2025-08-05,21193.85453267744,21643.724086437105,20973.91830639494,21338.8125,131939
2025-08-06,21343.810463661546,21348.80901412142,20299.113417547902,20414.080078125,138080
2025-08-07,20374.091761980926,21083.88593033257,20179.148293208294,20703.99609375,134418
2025-08-08,20838.955755631774,20893.93980775745,20199.14133089662,20289.115234375,105573
2025-08-11,20374.092327330254,20893.94159181562,20014.19668268654,20833.958984375,106590
2025-08-12,20893.94056535395,21793.679632761538,20524.04783764194,20689.0,215564
2025-08-13,20845.0,21370.0,20800.0,21120.0,151392
2025-08-14,21120.0,21400.0,20330.0,20395.0,120422
2025-08-18,20700.0,20790.0,19645.0,19775.0,146081
2025-08-19,19875.0,20020.0,19450.0,19705.0,153989
2025-08-20,19800.0,20445.0,19780.0,20000.0,122261
2025-08-21,20095.0,20320.0,19665.0,20090.0,118087
2025-08-22,20090.0,20390.0,19700.0,19875.0,103090
2025-08-25,20000.0,20040.0,19360.0,19450.0,95978
2025-08-26,19540.0,20190.0,19130.0,19780.0,1850704
2025-08-28,19575.0,20010.0,19355.0,19590.0,146953
2025-08-29,19790.0,19940.0,18875.0,19110.0,135354
2025-09-01,19200.0,19320.0,18851.0,18942.0,72116
2025-09-02,19070.0,19275.0,18692.0,18815.0,67579
2025-09-03,18950.0,19275.0,18940.0,19199.0,80666
2025-09-04,19389.0,19420.0,18770.0,18925.0,78236
2025-09-05,19040.0,19259.0,18710.0,18850.0,58438
2025-09-08,18980.0,19030.0,18758.0,18851.0,30921
2025-09-09,18940.0,18970.0,18627.0,18846.0,55484
2025-09-10,18972.0,19863.0,18910.0,19675.0,117264
2025-09-11,19630.0,20285.0,19367.0,19450.0,99825
2025-09-12,19620.0,19990.0,19470.0,19911.0,80398
2025-09-15,19911.0,20300.0,19854.0,20180.0,53200
2025-09-16,20180.0,20293.0,19854.0,19978.0,66139
2025-09-17,20100.0,20450.0,19971.0,20109.0,76624
2025-09-18,20185.0,20272.0,19300.0,19379.0,95102
2025-09-19,19384.0,19680.0,18860.0,19025.0,104486
2025-09-22,19117.0,19698.0,18849.0,19086.0,86939
2025-09-23,19206.0,19520.0,18878.0,18995.0,98133
2025-09-24,19089.0,19150.0,18850.0,18997.0,53592
2025-09-25,19089.0,19295.0,18910.0,19203.0,49593
2025-09-26,19260.0,19777.0,18955.0,19109.0,104379
2025-09-29,19300.0,19718.0,18951.0,19247.0,92371
2025-09-30,19330.0,19330.0,17860.0,18001.0,184110
2025-10-01,18050.0,18250.0,17638.0,18134.0,93564
2025-10-03,18500.0,18550.0,18035.0,18223.0,76312
2025-10-06,18270.0,18407.0,18080.0,18203.0,45512
2025-10-07,18248.0,18510.0,17438.0,17547.0,143978
2025-10-08,17650.0,18193.0,17549.0,17794.0,101548
2025-10-09,17916.0,18031.0,17557.0,17731.0,46209
2025-10-10,17780.0,17995.0,17565.0,17645.0,49541
2025-10-13,17600.0,17821.0,17331.0,17786.0,63312
2025-10-14,17850.0,17974.0,17266.0,17451.0,76630
2025-10-15,17500.0,17525.0,17081.0,17488.0,78055
2025-10-16,17487.0,17795.0,17320.0,17700.0,80544
2025-10-17,17750.0,17785.0,17372.0,17439.0,60909
2025-10-20,17499.0,17699.0,17358.0,17452.0,42535
2025-10-21,17600.0,17600.0,17417.0,17467.0,4432
2025-10-23,17471.0,17574.0,17016.0,17075.0,81981
2025-10-24,17160.0,17248.0,16731.0,16767.0,72071
2025-10-27,16850.0,16913.0,16608.0,16655.0,115095
2025-10-28,16735.0,17185.0,16614.0,16956.0,103404
2025-10-29,17020.0,17595.0,16860.0,17482.0,100160
2025-10-30,17500.0,18045.0,17350.0,17933.0,128504
2025-10-31,17920.0,18178.0,17700.0,17778.0,104419
2025-11-03,17805.0,18100.0,17280.0,17919.0,146346
2025-11-04,19210.0,20639.0,18670.0,20457.0,1237485
2025-11-05,20457.0,20457.0,20457.0,20457.0,0
2025-11-06,20305.0,20556.0,20076.0,20207.0,176282
2025-11-07,20020.0,20939.0,19914.0,20863.0,289064
2025-11-10,20970.0,21550.0,20952.0,21297.0,216386
2025-11-11,21300.0,22069.0,21255.0,21854.0,229187
2025-11-12,21968.0,22090.0,21625.0,22018.0,142206
2025-11-13,21950.0,21992.0,21366.0,21415.0,129322
2025-11-14,21380.0,21619.0,21315.0,21466.0,62139
2025-11-17,21575.0,21763.0,21416.0,21474.0,63502
2025-11-18,21474.0,21636.0,21126.0,21415.0,80940
2025-11-19,21400.0,21700.0,21226.0,21624.0,76408
2025-11-20,21700.0,22450.0,21690.0,22397.0,186683
2025-11-21,22239.0,22325.0,21470.0,21563.0,101928
